;;;;;;
;Intervenant;Métier;Remarques;;;
;Gaëlle Calvary;Chercheuse en informatique, Grenoble INP, LIG;Aspect technique;;;
;Christian Bastien;Professeur en psychologie, Université de Lorraine;Ergonomie collective, Aspect social;;;
;James Williams;Chercheur Oxford, cofondateur d’un mouvement;Après avoir travaillé pour google, il lève l’alerte, unlikely;;;
;Moustafa Zouinar;Chercheur chez Orange Labs;Intéressant d’avoir une vision du sujet par la R&D du privé;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
